SPEEDELEC  Booster; 35.0; 10900.0; false; 13200; green; 1279
FOLDING BIKE  Dahon; 24.0; 8; 13100.0; true; silver; 229
SPEEDELEC  Speedelec Minirider; 10.0; 7800.0; false; 8900; grey; 869
SPEEDELEC  AirWheel; 15.0; 12500.0; true; 13400; blue; 1675
E-BIKE  Mando Footloose; 30.0; 20700.0; true; 23000; dark gray; 2849
SPEEDELEC  Kugoo; 10.0; 15800.0; false; 14100; orange; 1575
E-BIKE  ION; 35.0; 28400.0; true; 31000; yellow; 3245
SPEEDELEC  Tesla; 65.0; 12600.0; true; 6400; brown; 199
FOLDING BIKE  West Bike; 26.0; 18; 16400.0; true; green; 335
FOLDING BIKE  West Bike; 20.0; 18; 11200.0; false; red; 419
SPEEDELEC  Maraton; 25.0; 21100.0; true; 12300; lemon; 909
FOLDING BIKE  Make Bike; 18.0; 1; 12200.0; false; lemon; 1305
FOLDING BIKE  West Bike; 18.0; 21; 15100.0; false; coral; 1065
SPEEDELEC  E-Scooter; 45.0; 13500.0; true; 6100; white; 659
SPEEDELEC  Maraton; 50.0; 21400.0; true; 11300; green; 1105
SPEEDELEC  Speedway; 50.0; 7200.0; false; 11800; olive; 1325
SPEEDELEC  Smart; 35.0; 20000.0; false; 11700; golden; 245
E-BIKE  Mercedes; 55.0; 25800.0; true; 27000; olive; 825
FOLDING BIKE  Formula; 20.0; 8; 16000.0; false; green; 669
SPEEDELEC  Tesla; 65.0; 18900.0; false; 13900; olive; 229
FOLDING BIKE  SkyBike; 26.0; 9; 8700.0; false; grey; 1179
SPEEDELEC  Kugoo; 35.0; 14400.0; false; 7800; golden; 745
FOLDING BIKE  Titan; 20.0; 24; 11800.0; false; flame; 1499
FOLDING BIKE  Benetti; 14.0; 7; 13400.0; true; coral; 305
E-BIKE  GoCycle; 35.0; 27900.0; false; 10000; brown; 2685
FOLDING BIKE  Trinx; 20.0; 21; 12300.0; false; rose; 1425
E-BIKE  E-Motion; 50.0; 23300.0; true; 19000; dark gray; 3419
SPEEDELEC  AirWheel; 50.0; 8400.0; true; 7900; emerald; 1599
SPEEDELEC  E-Scooter; 10.0; 15800.0; false; 3100; yellow; 1375
E-BIKE  Farad; 30.0; 28700.0; true; 14000; yellow; 2245
SPEEDELEC  OIO; 45.0; 10300.0; true; 13400; pink; 959
E-BIKE  Mando Footloose; 35.0; 23000.0; true; 19000; green; 2495
SPEEDELEC  Xiaomi; 40.0; 6500.0; false; 9000; silver; 375
FOLDING BIKE  Author; 24.0; 7; 11900.0; true; red; 685
E-BIKE  Farad; 45.0; 21500.0; true; 12000; silver; 1385
SPEEDELEC  Maraton; 30.0; 14800.0; false; 12800; white; 889
SPEEDELEC  Booster; 50.0; 17900.0; true; 3100; lemon; 1399
FOLDING BIKE  West Bike; 14.0; 21; 8300.0; false; yellow; 189
E-BIKE  Zaxboard; 30.0; 20300.0; false; 29000; pink; 2205
FOLDING BIKE  Stern; 20.0; 1; 8200.0; false; orange; 615
SPEEDELEC  Speedelec Minirider; 55.0; 15200.0; false; 5600; green; 899
FOLDING BIKE  Flex; 24.0; 8; 9300.0; true; orange; 779
E-BIKE  Scott; 20.0; 20900.0; false; 23000; dark gray; 1465
SPEEDELEC  Xiaomi; 60.0; 13800.0; false; 12700; brown; 1475
FOLDING BIKE  Polygon; 24.0; 6; 15900.0; true; violet; 405
E-BIKE  ION; 20.0; 26900.0; false; 21000; golden; 1359
E-BIKE  Mando Footloose; 40.0; 27600.0; false; 16000; flame; 2105
FOLDING BIKE  Flex; 26.0; 3; 12000.0; false; pink; 835
SPEEDELEC  AirWheel; 45.0; 13500.0; false; 4600; yellow; 1039
FOLDING BIKE  West Bike; 24.0; 1; 10800.0; true; red; 525
SPEEDELEC  Speedelec Minirider; 30.0; 19700.0; false; 3100; grey; 1649
FOLDING BIKE  Make Bike; 26.0; 1; 10300.0; true; lemon; 765
FOLDING BIKE  Make Bike; 14.0; 24; 13100.0; false; red; 625
SPEEDELEC  Booster; 10.0; 7300.0; false; 7600; flame; 239
FOLDING BIKE  Titan; 24.0; 7; 16900.0; true; green; 1339
SPEEDELEC  Kugoo; 15.0; 10200.0; true; 12200; khaki; 815
E-BIKE  Mercedes; 45.0; 24200.0; false; 28000; beige; 2399
SPEEDELEC  Speedway; 25.0; 21900.0; false; 15000; rose; 559
E-BIKE  Porshe Design; 60.0; 26500.0; true; 25000; dark gray; 3479
SPEEDELEC  OIO; 30.0; 18400.0; false; 10800; golden; 1519
SPEEDELEC  Peugeot; 35.0; 13900.0; false; 3100; marine; 1355
E-BIKE  Xiaomi; 65.0; 28900.0; true; 14000; golden; 1535
FOLDING BIKE  Intertool; 24.0; 3; 11500.0; false; pink; 1579
E-BIKE  ION; 60.0; 28900.0; false; 31000; emerald; 3099
FOLDING BIKE  Cayman; 24.0; 6; 11600.0; false; orange; 1315
E-BIKE  Felt; 65.0; 21900.0; false; 26000; white; 3359
FOLDING BIKE  Stern; 14.0; 24; 9800.0; true; white; 465
SPEEDELEC  Booster; 25.0; 13500.0; false; 8900; black; 869
FOLDING BIKE  Titan; 20.0; 9; 13800.0; false; violet; 1239
SPEEDELEC  E-Scooter; 10.0; 8600.0; false; 10200; black; 605
FOLDING BIKE  Flex; 26.0; 1; 13400.0; true; white; 595
SPEEDELEC  Segway; 50.0; 17900.0; true; 5900; brown; 659
SPEEDELEC  Aest; 45.0; 6900.0; false; 5500; brown; 1635
SPEEDELEC  Booster; 40.0; 9900.0; true; 2400; black; 1635
FOLDING BIKE  Benetti; 24.0; 9; 15100.0; false; dark gray; 519
SPEEDELEC  Xiaomi; 20.0; 11700.0; false; 4700; white; 309
FOLDING BIKE  VNV; 20.0; 9; 9700.0; false; grenadine; 1325
E-BIKE  ION; 20.0; 22300.0; true; 28000; golden; 1179
SPEEDELEC  Segway; 35.0; 14800.0; true; 3400; green; 319
SPEEDELEC  Speedelec Minirider; 65.0; 7800.0; true; 9700; rose; 665
E-BIKE  Porshe Design; 60.0; 28300.0; true; 30000; white; 2869
E-BIKE  Porshe Design; 40.0; 20800.0; true; 18000; green; 1119
FOLDING BIKE  Kross; 18.0; 21; 10200.0; false; blue; 1269
E-BIKE  Mercedes; 65.0; 23800.0; true; 19000; blue; 3259
SPEEDELEC  Speedelec Minirider; 50.0; 12600.0; false; 13700; grenadine; 739
E-BIKE  Zaxboard; 55.0; 23300.0; false; 21000; coral; 1705
SPEEDELEC  Maraton; 60.0; 13700.0; false; 3000; beige; 625
FOLDING BIKE  Titan; 18.0; 9; 15000.0; true; blue; 385
SPEEDELEC  Speedelec Minirider; 35.0; 7000.0; false; 10500; khaki; 265
E-BIKE  Scott; 45.0; 25900.0; false; 21000; pink; 1759
SPEEDELEC  AirWheel; 60.0; 16900.0; false; 14100; blue; 295
SPEEDELEC  Freego; 25.0; 9900.0; false; 15100; marine; 765
E-BIKE  Rover; 25.0; 25000.0; false; 8000; beige; 829
FOLDING BIKE  Crosser; 20.0; 1; 13600.0; true; red; 469
SPEEDELEC  ITrike; 65.0; 9900.0; false; 9000; rose; 205
SPEEDELEC  OIO; 60.0; 14100.0; false; 9100; silver; 415
SPEEDELEC  Ultron; 45.0; 21900.0; true; 2300; marine; 1459
SPEEDELEC  Kugoo; 40.0; 20100.0; true; 8100; grenadine; 425
FOLDING BIKE  Dahon; 16.0; 18; 11400.0; true; beige; 709
SPEEDELEC  ITrike; 50.0; 17200.0; true; 5200; violet; 1355
E-BIKE  Porshe Design; 20.0; 27700.0; false; 20000; grenadine; 1309
E-BIKE  Koga; 30.0; 21200.0; false; 25000; beige; 1019
SPEEDELEC  Booster; 10.0; 21400.0; false; 9700; brown; 1019
FOLDING BIKE  Trinx; 24.0; 3; 13900.0; true; beige; 1115
SPEEDELEC  OIO; 40.0; 9900.0; true; 6100; violet; 535
FOLDING BIKE  Stern; 24.0; 3; 13400.0; true; beige; 1209
E-BIKE  ElectrO; 20.0; 19800.0; false; 21000; beige; 1875
FOLDING BIKE  Comanche; 26.0; 1; 9900.0; true; grey; 199
E-BIKE  Haibike; 25.0; 24300.0; true; 25000; beige; 1975
FOLDING BIKE  Polygon; 20.0; 8; 14100.0; true; grey; 309
SPEEDELEC  Tesla; 50.0; 20000.0; false; 2900; khaki; 325
SPEEDELEC  E-Scooter; 60.0; 8300.0; false; 13100; silver; 345
SPEEDELEC  Xiaomi; 60.0; 17000.0; true; 12300; violet; 1209
E-BIKE  Gazelle; 55.0; 25300.0; true; 13000; beige; 1569
FOLDING BIKE  Author; 26.0; 24; 10200.0; true; black; 1599
E-BIKE  Haibike; 40.0; 25100.0; false; 13000; beige; 2445
E-BIKE  Rover; 25.0; 23300.0; true; 26000; olive; 679
E-BIKE  SkyBike; 45.0; 27900.0; false; 30000; violet; 2125
SPEEDELEC  Aest; 20.0; 11700.0; true; 12800; emerald; 365
SPEEDELEC  ITrike; 60.0; 16300.0; false; 3800; white; 1549
FOLDING BIKE  Comanche; 20.0; 1; 11600.0; true; pink; 279
E-BIKE  Zaxboard; 25.0; 23500.0; false; 26000; beige; 2785
FOLDING BIKE  Crosser; 16.0; 7; 12200.0; false; pink; 695
E-BIKE  Felt; 55.0; 22700.0; true; 29000; white; 2835
FOLDING BIKE  Kross; 24.0; 6; 11600.0; false; yellow; 759
SPEEDELEC  AirWheel; 45.0; 7000.0; true; 13000; golden; 299
SPEEDELEC  ITrike; 55.0; 13300.0; true; 10300; khaki; 1019
FOLDING BIKE  Kross; 20.0; 8; 11500.0; false; green; 345
SPEEDELEC  EcoRide; 45.0; 10900.0; true; 13600; pink; 355
FOLDING BIKE  Kross; 20.0; 8; 14800.0; false; yellow; 1675
FOLDING BIKE  Titan; 26.0; 27; 16900.0; false; grey; 1299
SPEEDELEC  Maraton; 40.0; 18900.0; false; 6800; pink; 869
SPEEDELEC  OIO; 20.0; 13800.0; true; 5600; emerald; 135
FOLDING BIKE  Polygon; 20.0; 1; 10700.0; true; emerald; 1355
E-BIKE  Mercedes; 50.0; 23600.0; true; 15000; emerald; 1505
E-BIKE  Ecofect; 45.0; 26900.0; true; 14000; dark gray; 1575
SPEEDELEC  Tesla; 35.0; 18700.0; true; 2000; beige; 489
E-BIKE  Felt; 50.0; 28900.0; true; 25000; olive; 2599
FOLDING BIKE  Formula; 18.0; 9; 10100.0; false; coral; 1625
FOLDING BIKE  Formula; 24.0; 7; 9600.0; true; grey; 385
E-BIKE  Felt; 45.0; 20900.0; false; 18000; grenadine; 1765
E-BIKE  Haibike; 40.0; 23800.0; false; 30000; pink; 1455
SPEEDELEC  Maraton; 30.0; 18700.0; false; 2200; golden; 415
E-BIKE  Farad; 35.0; 21900.0; false; 11000; coral; 3419
FOLDING BIKE  Make Bike; 20.0; 24; 14000.0; false; silver; 1219
SPEEDELEC  AirWheel; 20.0; 14500.0; true; 11600; orange; 499
FOLDING BIKE  Dahon; 20.0; 27; 15900.0; true; rose; 1589
E-BIKE  Felt; 25.0; 25200.0; false; 30000; white; 669
SPEEDELEC  Speedway; 35.0; 19200.0; true; 10400; brown; 1019
FOLDING BIKE  SkyBike; 24.0; 21; 11900.0; true; pink; 1029
SPEEDELEC  AirWheel; 30.0; 19600.0; false; 11500; grenadine; 1555
FOLDING BIKE  Trinx; 18.0; 8; 13500.0; true; white; 1465
SPEEDELEC  Freego; 45.0; 20700.0; false; 12000; silver; 1445
FOLDING BIKE  West Bike; 16.0; 21; 14000.0; true; rose; 1305
E-BIKE  GoCycle; 45.0; 22700.0; false; 23000; grey; 2429
SPEEDELEC  Aest; 50.0; 19500.0; false; 6300; red; 1385
FOLDING BIKE  Cayman; 20.0; 1; 12700.0; true; flame; 1299
FOLDING BIKE  Trinx; 26.0; 7; 13400.0; true; grenadine; 1675
E-BIKE  ION; 25.0; 22600.0; true; 22000; grenadine; 2995
SPEEDELEC  OIO; 60.0; 21400.0; false; 6700; golden; 1455
FOLDING BIKE  Titan; 26.0; 3; 13500.0; false; pink; 1685
SPEEDELEC  Dualtron; 35.0; 18600.0; true; 4700; grey; 489
FOLDING BIKE  Cayman; 20.0; 9; 14000.0; true; silver; 1499
E-BIKE  Mando Footloose; 55.0; 23200.0; true; 29000; golden; 2215
FOLDING BIKE  Crosser; 20.0; 3; 9700.0; true; brown; 1105
SPEEDELEC  E-Scooter; 25.0; 16400.0; false; 7800; rose; 235
SPEEDELEC  E-Scooter; 20.0; 13500.0; false; 7500; flame; 435
SPEEDELEC  Speedelec Minirider; 30.0; 8200.0; true; 15000; grenadine; 775
E-BIKE  SkyBike; 50.0; 25800.0; true; 11000; beige; 3265
E-BIKE  Ecofect; 35.0; 24500.0; true; 19000; grenadine; 2865
FOLDING BIKE  Kross; 20.0; 18; 13300.0; true; golden; 1445
SPEEDELEC  Speedway; 15.0; 21900.0; false; 6600; marine; 1475
FOLDING BIKE  Polygon; 20.0; 6; 9400.0; true; black; 975
FOLDING BIKE  Crosser; 24.0; 18; 9700.0; true; black; 365
SPEEDELEC  Ultron; 45.0; 16900.0; false; 13500; emerald; 1625
SPEEDELEC  Tesla; 20.0; 9100.0; true; 3900; violet; 1599
FOLDING BIKE  Author; 18.0; 24; 13900.0; false; brown; 1229
SPEEDELEC  Maraton; 50.0; 14600.0; true; 8900; emerald; 1005
SPEEDELEC  Speedway; 20.0; 6500.0; false; 4800; orange; 365
E-BIKE  Koga; 55.0; 26000.0; true; 11000; beige; 905
FOLDING BIKE  Cayman; 18.0; 3; 12700.0; true; marine; 1089
FOLDING BIKE  Polygon; 16.0; 3; 10200.0; true; coral; 845
E-BIKE  ElectrO; 50.0; 20300.0; false; 29000; grey; 1839
FOLDING BIKE  Crosser; 20.0; 1; 11400.0; true; grey; 1459
FOLDING BIKE  Brompton; 18.0; 9; 11900.0; false; yellow; 845
E-BIKE  Ecofect; 25.0; 23900.0; true; 18000; blue; 925
SPEEDELEC  Ultron; 65.0; 8200.0; true; 3700; coral; 435
FOLDING BIKE  Stern; 26.0; 27; 10000.0; true; green; 355
FOLDING BIKE  BMW; 16.0; 8; 16800.0; false; grey; 1165
SPEEDELEC  Tesla; 25.0; 7800.0; false; 9500; beige; 1365
SPEEDELEC  Aest; 45.0; 13600.0; false; 4100; khaki; 519
E-BIKE  Zaxboard; 50.0; 22100.0; true; 20000; beige; 1609
E-BIKE  GoCycle; 35.0; 19100.0; false; 20000; golden; 3329
E-BIKE  Felt; 30.0; 21500.0; false; 27000; lemon; 1265
SPEEDELEC  Dualtron; 30.0; 13900.0; false; 12800; khaki; 1595
FOLDING BIKE  Comanche; 20.0; 27; 14500.0; false; silver; 1655
E-BIKE  Gazelle; 50.0; 21400.0; true; 30000; green; 1889
SPEEDELEC  Xiaomi; 15.0; 9000.0; true; 5800; blue; 1255
E-BIKE  ION; 30.0; 19100.0; false; 8000; yellow; 1705
SPEEDELEC  E-Scooter; 15.0; 21000.0; false; 6600; beige; 1129
E-BIKE  Gazelle; 25.0; 25300.0; false; 19000; silver; 1029
FOLDING BIKE  Brompton; 16.0; 27; 8300.0; false; grey; 195
E-BIKE  Porshe Design; 60.0; 28300.0; true; 27000; grey; 1005
SPEEDELEC  AirWheel; 10.0; 7000.0; false; 2600; blue; 1145
SPEEDELEC  Booster; 15.0; 6500.0; false; 3200; green; 699
E-BIKE  SkyBike; 35.0; 26100.0; false; 17000; yellow; 3139
FOLDING BIKE  Stern; 14.0; 8; 9600.0; true; violet; 1539
FOLDING BIKE  Formula; 26.0; 9; 9300.0; false; orange; 915
SPEEDELEC  E-Scooter; 15.0; 11900.0; true; 14500; silver; 439
FOLDING BIKE  Kross; 20.0; 24; 8500.0; false; brown; 1545
E-BIKE  ElectrO; 45.0; 24100.0; false; 23000; silver; 919
SPEEDELEC  Freego; 25.0; 13900.0; true; 3800; marine; 849
E-BIKE  Koga; 45.0; 23400.0; false; 14000; olive; 3189
SPEEDELEC  Kugoo; 65.0; 20700.0; false; 5400; emerald; 1235
E-BIKE  Lankeleisi; 40.0; 26700.0; false; 28000; blue; 2865
E-BIKE  ION; 60.0; 23100.0; false; 10000; green; 2005
FOLDING BIKE  Flex; 16.0; 8; 14900.0; true; violet; 365
E-BIKE  Koga; 45.0; 27500.0; true; 11000; golden; 3385
FOLDING BIKE  Stern; 18.0; 24; 9000.0; true; emerald; 495
E-BIKE  Koga; 25.0; 27400.0; false; 20000; orange; 3345
E-BIKE  Haibike; 55.0; 26300.0; false; 18000; red; 1805
SPEEDELEC  Peugeot; 35.0; 10300.0; false; 9200; blue; 225
FOLDING BIKE  VNV; 14.0; 3; 12400.0; true; khaki; 1169
SPEEDELEC  Ultron; 55.0; 19800.0; true; 14400; emerald; 1479
FOLDING BIKE  Author; 18.0; 9; 11600.0; false; coral; 1605
SPEEDELEC  Speedelec Minirider; 35.0; 21900.0; false; 13400; dark gray; 859
E-BIKE  Scott; 55.0; 24400.0; false; 13000; golden; 2719
FOLDING BIKE  Titan; 20.0; 1; 11800.0; true; rose; 225
FOLDING BIKE  Comanche; 24.0; 8; 12800.0; true; white; 789
SPEEDELEC  Aest; 30.0; 11600.0; true; 8500; coral; 805
E-BIKE  GoCycle; 40.0; 20300.0; true; 25000; orange; 3269
E-BIKE  Xiaomi; 25.0; 27600.0; true; 21000; green; 2229
FOLDING BIKE  Crosser; 14.0; 27; 15100.0; true; silver; 1659
FOLDING BIKE  Cayman; 24.0; 27; 14000.0; false; rose; 665
FOLDING BIKE  Author; 20.0; 7; 8800.0; true; beige; 449
SPEEDELEC  EcoRide; 60.0; 19400.0; true; 5100; khaki; 715
E-BIKE  Xiaomi; 45.0; 27400.0; true; 16000; silver; 1239
SPEEDELEC  Peugeot; 60.0; 21100.0; true; 15800; lemon; 199
SPEEDELEC  Smart; 35.0; 20300.0; false; 14500; khaki; 885
FOLDING BIKE  Dahon; 14.0; 27; 9700.0; true; white; 1215
SPEEDELEC  Ultron; 60.0; 10400.0; false; 7000; emerald; 489
FOLDING BIKE  VNV; 20.0; 3; 10400.0; true; silver; 445
SPEEDELEC  EcoRide; 20.0; 21500.0; true; 11900; marine; 1375
FOLDING BIKE  VNV; 26.0; 8; 14900.0; false; marine; 825
FOLDING BIKE  VNV; 20.0; 18; 8500.0; false; green; 339
SPEEDELEC  Tesla; 10.0; 13400.0; false; 11300; orange; 1115
FOLDING BIKE  Flex; 26.0; 9; 12900.0; true; marine; 349
FOLDING BIKE  Author; 24.0; 18; 15300.0; true; red; 1079
SPEEDELEC  Aest; 65.0; 14200.0; true; 14200; grey; 1479
SPEEDELEC  Booster; 55.0; 11700.0; false; 6000; marine; 1299
FOLDING BIKE  Titan; 20.0; 8; 10200.0; false; pink; 185
SPEEDELEC  Tesla; 50.0; 19500.0; false; 6000; emerald; 1395
FOLDING BIKE  Make Bike; 20.0; 7; 8800.0; true; khaki; 799
SPEEDELEC  Xiaomi; 35.0; 21600.0; true; 8300; black; 1565
FOLDING BIKE  Titan; 24.0; 18; 12200.0; false; grenadine; 1509
SPEEDELEC  Freego; 45.0; 10400.0; false; 2900; green; 985
E-BIKE  Farad; 30.0; 19200.0; false; 10000; brown; 1955
SPEEDELEC  Kugoo; 60.0; 17700.0; false; 9900; coral; 1175
FOLDING BIKE  Titan; 20.0; 7; 10300.0; false; yellow; 1425
FOLDING BIKE  Polygon; 20.0; 3; 9000.0; false; coral; 795
SPEEDELEC  Booster; 50.0; 19600.0; false; 9100; olive; 779
SPEEDELEC  EcoRide; 60.0; 20000.0; true; 2000; green; 699
SPEEDELEC  Kugoo; 10.0; 14300.0; true; 3300; olive; 1515
E-BIKE  Rover; 45.0; 24900.0; true; 12000; brown; 2665
E-BIKE  Gazelle; 60.0; 19600.0; false; 12000; yellow; 835
SPEEDELEC  Booster; 30.0; 8300.0; false; 4000; orange; 835
FOLDING BIKE  SkyBike; 24.0; 21; 15700.0; false; grenadine; 295
FOLDING BIKE  Polygon; 26.0; 9; 12800.0; false; yellow; 1575
SPEEDELEC  Segway; 30.0; 20600.0; true; 9000; dark gray; 429
E-BIKE  Zaxboard; 45.0; 20300.0; false; 25000; green; 3059
SPEEDELEC  Xiaomi; 65.0; 20900.0; true; 3400; beige; 1139
SPEEDELEC  Dualtron; 15.0; 10600.0; true; 3400; white; 439
FOLDING BIKE  Author; 24.0; 7; 11000.0; true; grenadine; 249
E-BIKE  Rover; 40.0; 19300.0; true; 26000; blue; 2295
E-BIKE  Farad; 60.0; 28300.0; true; 12000; khaki; 2345
FOLDING BIKE  Polygon; 24.0; 1; 9100.0; false; flame; 449
SPEEDELEC  Speedelec Minirider; 45.0; 10000.0; false; 6600; white; 1599
SPEEDELEC  ITrike; 45.0; 13200.0; false; 2100; green; 715
SPEEDELEC  Tesla; 40.0; 13900.0; true; 14400; coral; 725
E-BIKE  Scott; 25.0; 20200.0; true; 24000; khaki; 2895
FOLDING BIKE  Benetti; 26.0; 6; 15000.0; true; silver; 1315
SPEEDELEC  Booster; 55.0; 7600.0; false; 8300; olive; 1339
SPEEDELEC  Segway; 10.0; 10300.0; true; 6700; golden; 1055
FOLDING BIKE  Comanche; 24.0; 18; 8400.0; true; golden; 599
SPEEDELEC  Maraton; 65.0; 21700.0; false; 8700; emerald; 1445
FOLDING BIKE  Comanche; 20.0; 6; 15100.0; true; pink; 1259
FOLDING BIKE  VNV; 20.0; 1; 10700.0; true; white; 1275
FOLDING BIKE  Titan; 14.0; 9; 10400.0; true; golden; 1375
FOLDING BIKE  Trinx; 24.0; 8; 16100.0; false; dark gray; 505
E-BIKE  Scott; 40.0; 19100.0; false; 27000; marine; 969
E-BIKE  Porshe Design; 45.0; 28900.0; true; 29000; khaki; 1399
SPEEDELEC  Xiaomi; 15.0; 6600.0; true; 15900; yellow; 1515
SPEEDELEC  Freego; 35.0; 20100.0; false; 2100; olive; 295
FOLDING BIKE  Trinx; 20.0; 6; 11000.0; true; blue; 1209
SPEEDELEC  EcoRide; 60.0; 19100.0; true; 2800; olive; 879
E-BIKE  ION; 50.0; 25600.0; false; 24000; blue; 1835
E-BIKE  SkyBike; 20.0; 23700.0; true; 22000; golden; 2645
SPEEDELEC  Maraton; 60.0; 7800.0; false; 14900; flame; 1239
FOLDING BIKE  Trinx; 14.0; 6; 10400.0; true; dark gray; 1535
SPEEDELEC  Xiaomi; 45.0; 21100.0; true; 2200; white; 625
E-BIKE  Zaxboard; 65.0; 25900.0; true; 9000; rose; 2945
E-BIKE  SkyBike; 45.0; 22100.0; false; 13000; silver; 1039
FOLDING BIKE  Flex; 18.0; 27; 12400.0; true; yellow; 829
SPEEDELEC  Kugoo; 20.0; 9000.0; false; 9900; black; 1225
E-BIKE  GoCycle; 60.0; 23700.0; true; 18000; orange; 1219
E-BIKE  ElectrO; 65.0; 20500.0; true; 13000; yellow; 1849
SPEEDELEC  Speedelec Minirider; 65.0; 14100.0; false; 8000; pink; 1375
E-BIKE  Farad; 45.0; 26200.0; true; 14000; black; 2875
FOLDING BIKE  Comanche; 16.0; 7; 10700.0; false; pink; 359
FOLDING BIKE  Cayman; 18.0; 8; 13200.0; false; pink; 715
FOLDING BIKE  SkyBike; 20.0; 3; 12900.0; false; grenadine; 775
E-BIKE  Ecofect; 40.0; 23900.0; false; 14000; olive; 2839
SPEEDELEC  Xiaomi; 10.0; 17400.0; false; 3000; black; 295
FOLDING BIKE  Brompton; 20.0; 18; 9700.0; false; golden; 815
SPEEDELEC  Speedelec Minirider; 30.0; 14400.0; false; 7800; rose; 1445
FOLDING BIKE  West Bike; 24.0; 6; 15200.0; false; grey; 1119
FOLDING BIKE  BMW; 16.0; 6; 12500.0; true; marine; 1559
E-BIKE  Farad; 35.0; 25900.0; false; 24000; lemon; 2679
SPEEDELEC  EcoRide; 15.0; 12300.0; false; 6200; rose; 1565
SPEEDELEC  AirWheel; 20.0; 6500.0; true; 2100; flame; 199
SPEEDELEC  AirWheel; 20.0; 13900.0; true; 14700; golden; 549
FOLDING BIKE  Trinx; 20.0; 1; 10700.0; true; green; 1599
E-BIKE  Gazelle; 65.0; 20500.0; false; 21000; black; 1175
FOLDING BIKE  Dahon; 14.0; 3; 8100.0; true; marine; 349
SPEEDELEC  Kugoo; 60.0; 9000.0; false; 6400; orange; 1639
E-BIKE  Scott; 60.0; 19000.0; false; 23000; beige; 1475
SPEEDELEC  Tesla; 65.0; 18500.0; true; 9200; green; 319
FOLDING BIKE  BMW; 20.0; 1; 16800.0; true; grenadine; 625
FOLDING BIKE  Titan; 24.0; 24; 10800.0; false; lemon; 1485
E-BIKE  Rover; 50.0; 22600.0; true; 9000; black; 2369
E-BIKE  Haibike; 45.0; 27600.0; false; 17000; flame; 809
E-BIKE  SkyBike; 20.0; 25600.0; true; 22000; white; 3329
E-BIKE  E-Motion; 35.0; 21300.0; false; 29000; violet; 1799
FOLDING BIKE  Make Bike; 16.0; 18; 9200.0; true; brown; 385
FOLDING BIKE  Trinx; 14.0; 3; 9100.0; false; coral; 679
SPEEDELEC  ITrike; 25.0; 14500.0; true; 2800; white; 915
FOLDING BIKE  Make Bike; 20.0; 7; 12300.0; false; orange; 959
FOLDING BIKE  Trinx; 14.0; 18; 12100.0; false; black; 435
E-BIKE  Haibike; 45.0; 24200.0; false; 16000; khaki; 2765
SPEEDELEC  Speedway; 25.0; 13800.0; false; 8000; silver; 1555
FOLDING BIKE  Dahon; 18.0; 27; 11800.0; false; brown; 839
FOLDING BIKE  Cayman; 20.0; 21; 15100.0; true; pink; 1479
E-BIKE  ION; 40.0; 28200.0; false; 11000; brown; 1695
FOLDING BIKE  Intertool; 20.0; 7; 11200.0; true; coral; 1129
SPEEDELEC  Peugeot; 25.0; 19000.0; true; 9100; brown; 975
E-BIKE  Rover; 30.0; 19200.0; false; 21000; rose; 2065
FOLDING BIKE  Cayman; 26.0; 6; 11800.0; true; black; 1259
FOLDING BIKE  Make Bike; 16.0; 7; 9800.0; false; green; 395
SPEEDELEC  AirWheel; 30.0; 6900.0; false; 14400; marine; 1669
E-BIKE  Mando Footloose; 25.0; 20300.0; false; 14000; white; 2565
E-BIKE  ElectrO; 30.0; 20600.0; false; 31000; red; 2899
SPEEDELEC  Xiaomi; 45.0; 19900.0; true; 12800; silver; 575
FOLDING BIKE  Brompton; 20.0; 7; 15300.0; false; khaki; 299
E-BIKE  Lankeleisi; 65.0; 25900.0; true; 15000; flame; 1315
E-BIKE  Gazelle; 20.0; 25600.0; false; 8000; marine; 1405
FOLDING BIKE  Comanche; 16.0; 1; 15600.0; true; dark gray; 619
FOLDING BIKE  Polygon; 20.0; 3; 16600.0; true; marine; 1419
E-BIKE  GoCycle; 35.0; 25700.0; true; 24000; brown; 2605
SPEEDELEC  Peugeot; 20.0; 14300.0; false; 7800; violet; 925
SPEEDELEC  Aest; 20.0; 19900.0; false; 2600; emerald; 1279
E-BIKE  ION; 35.0; 25100.0; true; 12000; marine; 1059
FOLDING BIKE  Benetti; 24.0; 1; 16100.0; true; violet; 329
FOLDING BIKE  Make Bike; 20.0; 24; 8400.0; true; marine; 1365
E-BIKE  Scott; 45.0; 28100.0; true; 15000; rose; 2365
SPEEDELEC  OIO; 25.0; 16400.0; true; 7700; khaki; 1469
E-BIKE  Ecofect; 35.0; 24400.0; false; 28000; brown; 1789
E-BIKE  Felt; 55.0; 24200.0; false; 15000; yellow; 965
FOLDING BIKE  Intertool; 24.0; 24; 9100.0; false; orange; 629
FOLDING BIKE  Author; 18.0; 8; 9000.0; false; grey; 925
E-BIKE  Scott; 65.0; 20400.0; false; 24000; orange; 3209
E-BIKE  Ecofect; 40.0; 21500.0; false; 26000; black; 2185
FOLDING BIKE  Cayman; 20.0; 1; 13600.0; true; golden; 1045
SPEEDELEC  Tesla; 65.0; 8300.0; false; 5100; grey; 475
FOLDING BIKE  Cayman; 26.0; 7; 13100.0; false; emerald; 269
FOLDING BIKE  Formula; 26.0; 6; 10400.0; false; flame; 825
